reviews,seat_type,date,country,recommend
"""Exceptional flight""",Business Class,2024-03-25,United Kingdom,yes
"""Cabin crew attentive and bubbly""",Economy Class,2024-03-25,United Kingdom,yes
“a terrible and unnecessary experience”,Economy Class,2024-03-25,United Kingdom,no
"""stick to their cabin bag size limit""",Economy Class,2024-03-21,United Kingdom,yes
"""crew were attentive, friendly""",Economy Class,2024-03-21,Canada,yes
"""Utterly outrageous""",Business Class,2024-03-19,United Kingdom,no
"""They have a long way to go"" ",Business Class,2024-03-19,Singapore,no
"""FA's were friendly""",Business Class,2024-03-14,Belgium,yes
"""Far from pleasant experience""",Business Class,2024-03-14,Belgium,no
"""cancelled our return flight"" ",Economy Class,2024-03-12,Canada,no
"""KLM is definitely a league over BA""",Economy Class,2024-03-11,Denmark,yes
"""Service extremely inattentive"" ",First Class,2024-03-10,United Kingdom,no
"""worst business class experience""",Business Class,2024-03-05,Australia,no
"""it's truly awful for short-haul""",Business Class,2024-03-04,Canada,no
"""never be flying with BA again""",Economy Class,2024-03-04,Singapore,no
"""it was extremely underwhelming""",Business Class,2024-03-04,United Kingdom,no
"""an excellent experience"" ",Business Class,2024-03-02,United Kingdom,yes
"""they refused to fly me back!",Economy Class,2024-03-01,Australia,no
"""Poor from start to finish""",Economy Class,2024-02-29,United Kingdom,no
“customer service non existent”,Premium Economy,2024-02-29,United Kingdom,no
"""no better than the worst of the low cost""",Economy Class,2024-02-23,United Kingdom,no
"""could not have been better""",Business Class,2024-02-21,United Kingdom,yes
"""Never again""",Economy Class,2024-02-17,United States,no
"""Is this how low BA has fallen?"" ",Economy Class,2024-02-17,United Kingdom,no
“It was a terrible experience”,Premium Economy,2024-02-16,United States,no
"""all needs a serious rework""",First Class,2024-02-11,United States,no
"""flights they have not actually provided""",Economy Class,2024-02-08,United Kingdom,no
“meticulous attention to detail”,Premium Economy,2024-02-06,Nigeria,yes
“they have ignored every communication”,Economy Class,2024-02-05,United Kingdom,no
"""fabulous cabin crew""",Business Class,2024-02-02,United Kingdom,no
"""no great expectations"" ",Business Class,2024-01-30,Japan,yes
