reviews,seat_type,date,country,recommend
"""Absolutely disgraceful""",Economy Class,2017-07-01,Australia,no
"""They are truly incompetent""",Economy Class,2017-07-01,United Kingdom,no
"""attentive and good natured""",First Class,2017-06-30,United Kingdom,yes
"""Baggage had not been loaded""",Economy Class,2017-06-30,United Kingdom,no
"""Club World is now very tired and worn""",Business Class,2017-06-30,Ghana,no
"""airline is a national disgrace""",Business Class,2017-06-29,United Kingdom,no
"""they are failing dismally""",Economy Class,2017-06-29,United Kingdom,no
"""I will no longer pick BA""",Economy Class,2017-06-29,United Kingdom,no
"""BA has lost the plot""",Economy Class,2017-06-28,United Kingdom,no
"""BA are going backwards""",Business Class,2017-06-27,United Kingdom,no
"""Leg room was atrocious"" ",Business Class,2017-06-27,Australia,no
"""now providing a very inferior product""",Business Class,2017-06-27,Ghana,no
"""BA please admit your mistake""",Economy Class,2017-06-26,United Kingdom,no
"""such bad customer service""",Economy Class,2017-06-25,United Kingdom,no
"""has been hit by cost savings""",Premium Economy,2017-06-24,South Africa,yes
"""such a miserly product""",Economy Class,2017-06-23,United Kingdom,yes
"""time to pull up its socks""",Premium Economy,2017-06-23,Laos,no
"""lack of honesty and transparency""",Economy Class,2017-06-23,United States,no
"""inadequate for the money paid""",Premium Economy,2017-06-22,United States,no
"""They should be ashamed of themselves""",Economy Class,2017-06-21,United Kingdom,no
"""I cannot recommend this cabin""",Premium Economy,2017-06-20,United Kingdom,no
"""I am very disappointed""",Business Class,2017-06-20,United Kingdom,no
"""whether I continue my loyalty""",Premium Economy,2017-06-19,Canada,no
"""stupidity, bad management and poor service""",Economy Class,2017-06-18,France,no
"""crews very young, unprofessional""",Premium Economy,2017-06-17,South Africa,no
"""Boarding was a disaster""",Business Class,2017-06-16,United Kingdom,no
"""possibly my last BA flights""",Business Class,2017-06-16,United Kingdom,no
"""Meal service surprisingly good""",Business Class,2017-06-16,United Kingdom,yes
"""service by a low-cost airline""",Economy Class,2017-06-15,Italy,yes
"""cost cutting beyond belief""",Premium Economy,2017-06-15,United Kingdom,yes
"""third world experience""",Business Class,2017-06-13,United Kingdom,no
"""the same price as normal""",Business Class,2017-06-13,United Kingdom,yes
"""decline across all classes""",Economy Class,2017-06-13,United Kingdom,no
"""a bare-bones airline""",Business Class,2017-06-13,United Kingdom,no
"""very little care of customers""",Premium Economy,2017-06-13,Switzerland,no
"""BA has gone downhill""",Economy Class,2017-06-12,United Kingdom,yes
"""a low cost experience""",Premium Economy,2017-06-12,United Kingdom,no
"""like a low cost carrier""",Economy Class,2017-06-12,Turkey,no
"""Terrible customer service""",Business Class,2017-06-12,United Kingdom,no
"""BA is going in the wrong direction""",Business Class,2017-06-11,United Kingdom,no
"""a much lower standard than other airlines""",Premium Economy,2017-06-10,Australia,no
"""it's not really premium economy""",Premium Economy,2017-06-10,United Kingdom,yes
"""BA now gone to the dogs""",First Class,2017-06-09,United Kingdom,no
"""one of the worst airlines""",Business Class,2017-06-08,Canada,no
"""Overall not recommended""",Premium Economy,2017-06-08,United Kingdom,no
"""have become a long haul Ryanair""",Economy Class,2017-06-08,United Kingdom,no
"""crew on both flights friendly and efficient""",Economy Class,2017-06-08,United Kingdom,yes
"""from bad to worse""",Economy Class,2017-06-07,United Kingdom,no
"""BA is going to the dogs""",Business Class,2017-06-07,United Kingdom,no
"""service on BA really is terrible""",Economy Class,2017-06-07,United Kingdom,no
"""I'm sticking with them""",Premium Economy,2017-06-07,United States,yes
"""are not a 4 star airline""",Economy Class,2017-06-06,United Kingdom,no
"""deteriorating service recently""",Business Class,2017-06-06,United Kingdom,no
"""a total disappointment""",Economy Class,2017-06-05,United States,no
"""this service is a joke""",Business Class,2017-06-05,United Kingdom,no
"""won the race to the bottom""",Economy Class,2017-06-04,United Kingdom,no
"""very evident cost cutting""",First Class,2017-06-02,United Kingdom,no
"""Absolute Cheapskates""",Business Class,2017-06-01,United Kingdom,no
"""BA insisted I only had one bag allowance """,Premium Economy,2017-06-01,United Kingdom,no
"""magic of our national carrier has gone""",Economy Class,2017-05-30,United Kingdom,no
"""wasn't worth the hassle for me""",Business Class,2017-05-30,United Kingdom,no
"""worst customer service""",Business Class,2017-05-30,United States,no
"""Cheapskate airline now""",Economy Class,2017-05-30,United Kingdom,no
"""business class is very cramped""",Business Class,2017-05-29,United Kingdom,yes
"""no more than a budget carrier""",Business Class,2017-05-29,United Kingdom,no
"""cost cutting may back fire""",Economy Class,2017-05-29,United Kingdom,no
"""very disappointing experience """,Economy Class,2017-05-29,United Kingdom,no
"""felt like budget airline""",Economy Class,2017-05-28,Indonesia,no
"""abandoned us at Rome airport""",Economy Class,2017-05-27,United States,no
"""little to no service""",Economy Class,2017-05-24,Ireland,yes
"""The crew were amazing""",Economy Class,2017-05-24,Ireland,yes
"""overall truly awful experience""",Business Class,2017-05-23,United Kingdom,no
"""attendents cordial and professional""",Economy Class,2017-05-22,Russian Federation,yes
"""BA have hit rock bottom""",Economy Class,2017-05-22,United Kingdom,no
"""it's basically a con""",Economy Class,2017-05-20,United Kingdom,no
"""a positive experience""",Economy Class,2017-05-19,United Kingdom,yes
"""total lack of customer service""",Economy Class,2017-05-17,United Kingdom,no
"""expected service onboard""",Economy Class,2017-05-17,Netherlands,yes
"""Overall very disappointing""",Business Class,2017-05-16,United Kingdom,no
"""could not be less interested""",Economy Class,2017-05-15,United Kingdom,no
"""the crew were fantastic""",Economy Class,2017-05-15,United Kingdom,yes
"""this relic of an airline""",Economy Class,2017-05-14,United Kingdom,no
"""Overall a good experience""",Premium Economy,2017-05-14,United Kingdom,yes
"""I have given up on avios""",Business Class,2017-05-13,Mexico,yes
"""not improving where they should""",Business Class,2017-05-13,Italy,no
"""getting a refund is a nightmare""",Economy Class,2017-05-13,United Kingdom,no
"""How far BA has sunk!""",Economy Class,2017-05-12,United Kingdom,no
"""I was very disappointed""",Economy Class,2017-05-12,United States,no
"""BA has lost two loyal customers""",Economy Class,2017-05-11,United Kingdom,no
"""Good value if a free upgrade""",Business Class,2017-05-11,United Kingdom,yes
"""not the BA that people once knew""",Premium Economy,2017-05-10,United Kingdom,no
"""staff could not have cared less""",Economy Class,2017-05-09,United Kingdom,no
"""service is consistently unacceptable""",Economy Class,2017-05-09,Canada,no
"""the flight was enjoyable""",Business Class,2017-05-09,United Kingdom,yes
"""a very cheap offer to upgrade""",Business Class,2017-05-08,United Kingdom,yes
"""my first choice out of City""",Economy Class,2017-05-06,United Kingdom,no
"""Staff are polite and friendly""",Economy Class,2017-05-05,United Kingdom,yes
"""a surly disapproving stewardess""",Premium Economy,2017-05-05,United Kingdom,no
"""game over for me""",Business Class,2017-05-05,United Kingdom,no
"""cost cutting affects all cabins""",First Class,2017-05-04,United Kingdom,no
"""downgraded their economy service""",Economy Class,2017-05-04,United Kingdom,yes
"""So low cost. So over them""",Economy Class,2017-05-04,United Kingdom,no
"""An absolute disgrace""",Economy Class,2017-05-04,United Kingdom,no
"""Rude and aggressive customer service""",Economy Class,2017-05-03,United Kingdom,no
"""is simply a budget airline""",Economy Class,2017-05-03,United Kingdom,no
"""a poor service all round """,Premium Economy,2017-05-03,United Kingdom,no
"""I have lost my patience""",Business Class,2017-05-03,Bahrain,no
"""Absolutely useless""",Economy Class,2017-05-03,United Kingdom,no
"""never seen an airline deteriorate so quickly""",Economy Class,2017-05-02,Slovakia,no
"""things are not as they were""",Economy Class,2017-05-02,United Kingdom,yes
"""Service was an absolute shambles""",Economy Class,2017-05-01,United Kingdom,no
"""pleasant and enjoyable experience""",Economy Class,2017-05-01,Switzerland,yes
"""should not call this business class""",Business Class,2017-04-30,Ireland,no
"""friendly, attentive and helpful""",Economy Class,2017-04-30,United Kingdom,yes
"""what you expect from a budget carrier""",Economy Class,2017-04-30,United Kingdom,no
"""on the edge of abandoning them""",Premium Economy,2017-04-29,United Kingdom,no
"""flight without a problem""",Economy Class,2017-04-29,Portugal,yes
"""avoid any 747 flight whenever possible""",First Class,2017-04-27,United Kingdom,no
"""saved £10 for two bunch of flowers""",First Class,2017-04-27,United Kingdom,no
"""for once I had the meal""",Business Class,2017-04-27,United Kingdom,no
"""friendly and efficient crew""",Economy Class,2017-04-27,United Kingdom,yes
"""carrier has become a laughing stock""",Economy Class,2017-04-26,United Kingdom,no
"""don't expect much nowadays from BA""",Business Class,2017-04-26,United Kingdom,no
"""national carrier turned into the worst""",Economy Class,2017-04-26,United Kingdom,no
"""we shall be flying with you again""",Business Class,2017-04-26,United Kingdom,yes
"""pay extra to reserve the seats""",Business Class,2017-04-25,Australia,yes
"""I prepared myself for the worst""",Economy Class,2017-04-24,United Kingdom,no
"""rapidly becoming a budget airline""",Economy Class,2017-04-24,United Kingdom,no
"""told snacks had been withdrawn""",Economy Class,2017-04-24,United Kingdom,no
"""little more than a budget airline""",Economy Class,2017-04-23,United Kingdom,no
"""something has gone terribly wrong""",Economy Class,2017-04-23,United Kingdom,no
"""airline is in terminal decline""",Economy Class,2017-04-23,United Kingdom,no
"""BA shined post-flight""",Premium Economy,2017-04-23,United States,yes
"""warned that BA had gone downhill""",Business Class,2017-04-22,Italy,no
"""a high cost no frills airline""",Business Class,2017-04-21,United Kingdom,no
"""really disappointed with BA""",Economy Class,2017-04-21,United Kingdom,no
"""how things have changed""",Economy Class,2017-04-21,Germany,no
"""BA should wake up""",Business Class,2017-04-21,United Kingdom,no
"""crew very polite and helpful""",Business Class,2017-04-20,United Kingdom,yes
"""if possible never fly BA again""",Business Class,2017-04-20,Dominican Republic,no
"""full service or a low cost""",Economy Class,2017-04-19,United States,no
"""attendants were very attentive""",Economy Class,2017-04-19,United States,yes
"""nearly 2 hours to be served""",Economy Class,2017-04-19,United Kingdom,no
"""fantastic staff at Terminal 3""",Economy Class,2017-04-19,Norway,yes
"""employs tactics of EasyJet""",Economy Class,2017-04-18,United Kingdom,no
"""service is polite""",Business Class,2017-04-18,Mexico,yes
"""nothing more than no-frills airline""",Economy Class,2017-04-18,United Kingdom,no
"""BA is now a budget airline""",Economy Class,2017-04-18,Hong Kong,no
"""I am ever increasingly disappointed""",Business Class,2017-04-18,United Kingdom,no
"""slightly above a budget airline""",Economy Class,2017-04-17,United States,no
"""I won't be flying BA anymore""",Economy Class,2017-04-17,United Kingdom,no
"""charged me for a bottle of water""",Economy Class,2017-04-17,United States,yes
"""don't cater for families""",Economy Class,2017-04-16,United Kingdom,no
"""I have had it with BA""",Economy Class,2017-04-16,United States,no
"""Excellent service and food""",Business Class,2017-04-16,Bulgaria,yes
"""attendants were attentive""",Business Class,2017-04-15,China,yes
"""airline with low cost service""",Economy Class,2017-04-15,United Kingdom,no
"""BA have totally lost the plot""",Business Class,2017-04-14,United Kingdom,no
"""not a good first trip on British Airways""",Economy Class,2017-04-14,United States,no
"""Very very poor customer service""",Economy Class,2017-04-13,United Kingdom,no
"""want to be a no-frills airline""",Premium Economy,2017-04-12,United Kingdom,no
"""don't go out your way to fly them""",Economy Class,2017-04-11,United Kingdom,no
"""BA need to invest in a new fleet""",Business Class,2017-04-11,United Kingdom,no
"""nothing redeeming about BA""",Business Class,2017-04-10,United Kingdom,no
"""what was I thinking flying this airline?""",Business Class,2017-04-10,Australia,no
"""legroom is an absolute joke""",Economy Class,2017-04-09,United Kingdom,no
"""being turned into Vueling""",Business Class,2017-04-09,United Kingdom,yes
"""feel disrespected and undervalued""",Business Class,2017-04-08,United Kingdom,no
"""turning BA into a low-cost carrier""",Premium Economy,2017-04-07,Germany,no
"""service inevitably snail-paced""",Economy Class,2017-04-07,United Kingdom,no
"""can no longer live on past reputation""",Economy Class,2017-04-06,United Kingdom,no
"""BA is now a no-frills carrier""",Economy Class,2017-04-06,United Kingdom,no
"""the worst flight I've been on""",Economy Class,2017-04-05,United Kingdom,no
"""now at an all time low""",Business Class,2017-04-05,United Kingdom,no
"""BA has gone cattle""",Economy Class,2017-04-04,United Kingdom,no
"""have slipped significantly""",Economy Class,2017-04-03,Australia,no
"""expect you to pay to reserve seats""",Business Class,2017-04-02,United Kingdom,no
"""not worth the money spent""",Economy Class,2017-04-02,Portugal,no
"""does not value their customers""",Economy Class,2017-04-01,Netherlands,no
"""atrocious customer service""",Economy Class,2017-03-29,Australia,no
"""very lazy and oblivious staff """,Economy Class,2017-03-29,United Kingdom,no
"""staff were absolutely appalling""",Business Class,2017-03-27,United Kingdom,no
"""has really gone downhill""",Premium Economy,2017-03-27,United Kingdom,no
"""well below every major competitor""",Business Class,2017-03-26,Germany,no
"""crew to be friendly and attentive""",Premium Economy,2017-03-26,United Kingdom,yes
"""second rate budget airline""",Economy Class,2017-03-25,United Kingdom,no
"""worst short haul flight ever""",Business Class,2017-03-24,Canada,no
"""my last time to book with them""",Economy Class,2017-03-24,United Kingdom,no
"""how much of a budget are they on now?""",Economy Class,2017-03-23,United Kingdom,no
"""seats are narrow""",Economy Class,2017-03-22,United Kingdom,no
"""never use British Airways again""",Economy Class,2017-03-22,Canada,no
"""just about ok for value for money""",Business Class,2017-03-21,United Kingdom,yes
"""disgusted, what a rip off""",Business Class,2017-03-21,United Kingdom,no
"""not be flying BA again""",Economy Class,2017-03-20,United Kingdom,no
"""budget experience at premium price""",Economy Class,2017-03-20,United Kingdom,no
"""Tired old aircraft""",Economy Class,2017-03-20,United Kingdom,no
"""here is where the ""value"" ends""",Economy Class,2017-03-17,United Kingdom,no
"""not what one expects from Business Class""",Business Class,2017-03-17,United Kingdom,no
"""Air Canada next time""",Economy Class,2017-03-16,Canada,no
"""Will switch to Lufthansa""",Economy Class,2017-03-16,Sweden,no
"""delayed 1 hour due to no cleaners""",Business Class,2017-03-16,United Kingdom,no
"""an excellent flight""",Business Class,2017-03-16,United Kingdom,yes
"""so disappointed with the service""",Economy Class,2017-03-14,United Kingdom,no
"""tired, worn interior""",Business Class,2017-03-13,Netherlands,no
"""now charge for food and drink""",Economy Class,2017-03-13,France,no
"""inflated prices for food""",Economy Class,2017-03-13,United Kingdom,no
"""worst airline I have ever flown""",Economy Class,2017-03-11,Ireland,no
""" cutbacks are a cut too far""",Economy Class,2017-03-11,United Kingdom,no
"""experience was a bit shoddy""",Economy Class,2017-03-10,United Kingdom,yes
"""not worth paying for business""",Business Class,2017-03-10,United Kingdom,no
"""not a business class product""",Business Class,2017-03-09,United Kingdom,no
"""lack of care extremely disappointing""",Premium Economy,2017-03-09,United Kingdom,no
"""will not be flying BA any more""",Economy Class,2017-03-09,United Kingdom,no
"""plane in both directions old and shabby""",Premium Economy,2017-03-08,United Kingdom,no
"""lack of enforcement of the carry on allowance""",Economy Class,2017-03-08,United Kingdom,no
"""Inflight service was basic""",Economy Class,2017-03-08,Singapore,no
"""nothing short of chaotic""",Economy Class,2017-03-07,United Kingdom,no
"""British Airways have lost the plot""",Economy Class,2017-03-07,United Kingdom,no
"""how the mighty have fallen""",Premium Economy,2017-03-06,Kuwait,no
"""Hopelessly inadequate product""",Business Class,2017-03-06,United Kingdom,no
"""Overall a good flight""",Business Class,2017-03-04,United Kingdom,yes
"""Very attentive and enthusiastic""",Business Class,2017-03-04,Canada,yes
"""worst airline customer service""",Economy Class,2017-03-04,Canada,no
"""a sad reflection on the country""",Economy Class,2017-03-03,United Kingdom,no
"""poor quality budget airline""",Economy Class,2017-03-01,Cyprus,no
"""unhelpful, uncomfortable and shabby""",Business Class,2017-02-28,United States,no
"""they continue to impress""",Premium Economy,2017-02-28,United Kingdom,yes
"""the worlds biggest rip off""",Economy Class,2017-02-27,United Kingdom,no
"""experience was wonderful""",Business Class,2017-02-26,United Kingdom,yes
"""a journey of disappointment""",Premium Economy,2017-02-25,United Kingdom,no
"""dreadful, stressful experience""",Business Class,2017-02-24,United Kingdom,no
"""minimalistic in their service""",Economy Class,2017-02-24,Canada,no
"""major issue is their penny pinching""",Economy Class,2017-02-24,United Kingdom,yes
"""rebrand to a budget airline""",Economy Class,2017-02-24,United Kingdom,no
"""stay where British Airways used to be""",Economy Class,2017-02-23,Germany,yes
"""the worst airline so far""",Economy Class,2017-02-23,Canada,no
"""this is an airline in decline""",First Class,2017-02-22,United Kingdom,no
"""this is by far the worst""",Economy Class,2017-02-22,United Kingdom,no
"""comfortable economy seat""",Economy Class,2017-02-21,United Kingdom,yes
"""decision to downgrade service""",Premium Economy,2017-02-21,Canada,no
"""no better than no frills competitors""",Economy Class,2017-02-21,United Kingdom,no
"""professional and friendly""",Economy Class,2017-02-20,United Kingdom,yes
"""on a race to the bottom""",Economy Class,2017-02-20,United Kingdom,no
"""treats customers with such contempt""",Economy Class,2017-02-20,United Kingdom,no
"""I was highly disappointed""",Economy Class,2017-02-19,Ghana,no
"""Short-sighted management or what?""",Business Class,2017-02-18,United Kingdom,no
"""a reasonable experience""",Economy Class,2017-02-18,United Kingdom,yes
"""Flight barely a quarter full""",Economy Class,2017-02-17,United Kingdom,yes
"""food had no taste whatsoever"" ",Economy Class,2017-02-17,United Kingdom,no
"""service good, food adequate""",Business Class,2017-02-16,China,yes
"""flight OK with snack and drink""",Business Class,2017-02-16,China,yes
"""British Airways has declined badly""",Premium Economy,2017-02-16,United States,no
"""quality of British Airways has most certainly gone downhill""",Economy Class,2017-02-15,United Kingdom,no
"""crew was nice and friendly""",Economy Class,2017-02-15,United Kingdom,yes
"""food was bland to say the least""",Economy Class,2017-02-15,United Kingdom,no
"""BA is now a low cost carrier""",Economy Class,2017-02-14,United Kingdom,no
"""British Airways was a shock""",Business Class,2017-02-14,Australia,no
"""Will never touch British Airways again""",Economy Class,2017-02-13,United Kingdom,no
"""equal to Ryanair and EasyJet""",Economy Class,2017-02-13,United Kingdom,no
"""they couldn't do anything for me""",Economy Class,2017-02-11,United States,no
"""next time I will fly Ryanair""",Economy Class,2017-02-11,United Kingdom,no
"""turning a once great airline into low cost """,Economy Class,2017-02-10,Spain,no
"""service is like budget airlines""",Economy Class,2017-02-08,United Kingdom,no
"""quality dropped dramatically""",Economy Class,2017-02-08,United Kingdom,no
"""I will never fly with BA again""",Economy Class,2017-02-08,United Kingdom,no
"""overall a good experience""",Economy Class,2017-02-08,United States,yes
"""good arrival lounge at LHR""",Business Class,2017-02-07,China,yes
"""learn from other airlines""",Business Class,2017-02-07,United Kingdom,no
"""exceed my expectation""",Business Class,2017-02-07,China,yes
"""these were pleasant flights""",Business Class,2017-02-06,United Kingdom,yes
"""British Airways, you need improve""",Economy Class,2017-02-06,United Kingdom,no
"""the wines are not good""",Economy Class,2017-02-06,France,yes
"""attentive, friendly cabin crew""",Business Class,2017-02-04,United Kingdom,yes
"""stooped to its lowest level""",Economy Class,2017-02-04,United Kingdom,no
"""brand suicide at its worst""",Economy Class,2017-02-04,Denmark,no
"""decent value for the money""",Economy Class,2017-02-03,Poland,yes
"""fallen behind other airlines""",Business Class,2017-02-03,United Kingdom,no
"""friendly and efficient service""",Economy Class,2017-02-01,United Kingdom,yes
"""Travel Nightmare""",Economy Class,2017-02-01,United States,no
"""reputation is on the slide""",Economy Class,2017-01-31,United Kingdom,no
"""dreadful business class experience""",Business Class,2017-01-31,United Kingdom,no
"""slipped to low budget airline""",Economy Class,2017-01-31,United Kingdom,no
"""still my first choice""",Premium Economy,2017-01-30,United States,yes
"""looked as if 20 years old""",Economy Class,2017-01-30,Canada,yes
"""no better than Ryanair now""",Economy Class,2017-01-30,United States,no
"""Inflight food shocking""",Economy Class,2017-01-30,United Kingdom,no
"""how the mighty have fallen""",Economy Class,2017-01-29,United Kingdom,no
"""did not receive a free glass of water""",Economy Class,2017-01-27,Switzerland,no
"""a par with low cost standards""",Economy Class,2017-01-27,United Kingdom,no
"""good experience both flights""",First Class,2017-01-27,United Kingdom,yes
"""they have lost absolutely their unique selling points""",Business Class,2017-01-26,United Kingdom,no
"""vowed to never fly with BA""",Economy Class,2017-01-26,Canada,no
"""treating premium passengers with contempt""",First Class,2017-01-26,United Kingdom,no
"""cost saving is clearly evident""",First Class,2017-01-26,United Kingdom,no
"""as different as night and day""",Business Class,2017-01-25,United Kingdom,yes
"""letting themselves down badly""",Economy Class,2017-01-24,United Kingdom,no
"""service was really good""",Economy Class,2017-01-24,United Kingdom,yes
"""narrower seats than other airlines""",Business Class,2017-01-23,United States,yes
"""worst customer service""",Premium Economy,2017-01-23,United Kingdom,no
"""can only be described as appalling""",Business Class,2017-01-23,United Kingdom,no
"""the aircraft was filthy""",Economy Class,2017-01-22,United Kingdom,no
"""horrible food, unmotivated crew""",Economy Class,2017-01-22,United Kingdom,no
"""will never fly with BA again""",Business Class,2017-01-21,United Kingdom,no
"""not fair for the fare""",Business Class,2017-01-21,France,no
"""ludicrous approach to carry on baggage""",Economy Class,2017-01-20,Japan,no
"""a very good airline""",Economy Class,2017-01-20,United Kingdom,yes
"""way below BA's competitors""",Business Class,2017-01-19,United Kingdom,no
"""would I fly in BA First again? No""",First Class,2017-01-18,United Kingdom,no
"""reduced to that of a budget airline""",Economy Class,2017-01-18,United Kingdom,no
"""a budget airline at premium airline prices""",Economy Class,2017-01-18,China,no
"""incompetence and insincerity""",Premium Economy,2017-01-17,China,no
"""plane had not been cleaned well""",Business Class,2017-01-17,United Kingdom,no
"""felt I was flying with a low cost airline""",Economy Class,2017-01-16,United Kingdom,no
"""will never fly them again""",Economy Class,2017-01-16,United States,no
"""see no point in using BA now""",Economy Class,2017-01-16,United Kingdom,no
"""no appeal whatsoever anymore""",Economy Class,2017-01-16,United Kingdom,no
"""arrivals lounge at LHR was great""",Business Class,2017-01-15,United Kingdom,yes
"""business class in need of major refurbishment""",Business Class,2017-01-14,United Kingdom,no
"""we don't deserve the shoddy treatment""",Economy Class,2017-01-14,United Kingdom,no
"""profit at any price""",Business Class,2017-01-13,Switzerland,no
"""joined budget airline bunch""",Economy Class,2017-01-13,Czech Republic,no
"""service was great throughout""",Business Class,2017-01-12,United Kingdom,yes
"""overall a good experience""",Economy Class,2017-01-11,United Kingdom,yes
"""British Airways has lost it class""",Economy Class,2017-01-11,United Kingdom,no
"""make sure you pack a sandwich""",Economy Class,2017-01-10,United Kingdom,no
"""inflight entertainment didn't work""",Economy Class,2017-01-10,United Kingdom,no
"""experience was excellent""",Economy Class,2017-01-09,Greece,yes
"""one of the worst airlines""",Economy Class,2017-01-08,United Kingdom,no
"""1 hour in the horrific queue""",Economy Class,2017-01-05,United Kingdom,no
"""have once again been disappointed by British Airways""",Business Class,2017-01-05,United Kingdom,no
"""cabin staff stomp up and down the aisle""",Economy Class,2017-01-05,Australia,no
"""too much cost cutting""",Business Class,2017-01-05,France,no
"""disappointing business class""",Business Class,2017-01-03,Hong Kong,no
"""cabin crew excelled throughout """,Business Class,2017-01-02,Canada,yes
"""tired, grey Boeing 777 interior""",Economy Class,2017-01-02,United Kingdom,yes
"""airline is going down fast""",Economy Class,2017-01-02,United Kingdom,no
"""a very dated experience""",Economy Class,2017-01-02,Sweden,no
"""disappointed with lack of food""",Economy Class,2017-01-01,United Kingdom,no
"""pay more for another airline""",Economy Class,2016-12-29,United Kingdom,no
"""never fly British Airways again""",Economy Class,2016-12-29,Canada,no
"""offered excellent attentive service""",First Class,2016-12-27,United Kingdom,yes
"""crew were helpful and attentive""",Economy Class,2016-12-27,United Kingdom,yes
"""stood waiting for assistance""",Economy Class,2016-12-26,United Kingdom,no
"""A380 is state of the art""",Premium Economy,2016-12-26,United Kingdom,yes
"""appreciation to be passed on""",Economy Class,2016-12-25,United Kingdom,yes
"""a dirty seat and cabin""",Business Class,2016-12-23,Luxembourg,yes
"""no customer loyalty sought""",Economy Class,2016-12-22,United States,no
"""not allowed to choose a seat""",Economy Class,2016-12-22,United Kingdom,yes
"""the staff were on the ball""",Premium Economy,2016-12-22,United Kingdom,no
"""give this rotten airline 0/10""",Premium Economy,2016-12-21,Canada,no
"""contempt for its customers""",Economy Class,2016-12-21,United Kingdom,no
"""run by bean counters""",Economy Class,2016-12-19,United Kingdom,no
"""terrible customer care""",Economy Class,2016-12-19,United Kingdom,no
"""very friendly cabin crew""",Economy Class,2016-12-17,United Kingdom,yes
"""surly and generally unhelpful""",Premium Economy,2016-12-17,Thailand,no
"""It was hard as rock and very uncomfortable""",First Class,2016-12-16,United Kingdom,no
"""convenient to where I live""",Economy Class,2016-12-15,United Kingdom,yes
"""heartily recommend""",Business Class,2016-12-14,Australia,yes
"""seats are so narrow""",Economy Class,2016-12-14,United Kingdom,no
"""food was miserable""",Economy Class,2016-12-13,Singapore,yes
"""the staff then disappeared""",Premium Economy,2016-12-13,United Kingdom,no
"""quality and quantity was extremely poor""",Economy Class,2016-12-13,United States,no
"""a cheap airline that cannot be relied on""",Premium Economy,2016-12-12,United Kingdom,no
"""did not get what we paid for""",Premium Economy,2016-12-11,United States,no
"""not up to par with competitors""",Business Class,2016-12-11,United States,no
"""profoundly uncomfortable when fully flat""",Business Class,2016-12-11,United States,yes
"""had a good flight on the A380""",Business Class,2016-12-10,China,yes
"""extremely rude and aggressive""",Premium Economy,2016-12-10,United Kingdom,no
"""quite enjoyable flights both ways""",Premium Economy,2016-12-09,United States,yes
"""poor facilities BA now provide""",Business Class,2016-12-09,United Kingdom,no
"""disinterested and unhelpful""",Economy Class,2016-12-08,United Kingdom,no
"""service .. we don't really care""",Premium Economy,2016-12-08,United States,yes
"""great little short hop""",Economy Class,2016-12-08,United States,yes
"""manage a trolley service """,Economy Class,2016-12-08,United States,yes
"""like some cut-rate budget airline""",Premium Economy,2016-12-08,United Kingdom,no
"""meal left a little to be desired""",Business Class,2016-12-08,United States,yes
"""another disappointing experience from BA""",First Class,2016-12-07,United Kingdom,no
"""not very friendly or helpful""",Economy Class,2016-12-07,Australia,yes
"""paid to book 2 seats, both broken""",Economy Class,2016-12-06,United Kingdom,no
"""a little disappointed""",Premium Economy,2016-12-06,United Kingdom,yes
"""nothing good to say about this trip""",Business Class,2016-12-06,United Kingdom,no
"""I would not recommend BA""",Economy Class,2016-12-05,United Kingdom,no
"""aircraft are very old""",Economy Class,2016-12-05,United Kingdom,no
"""the crew were pleasant and efficient""",Business Class,2016-12-04,United Kingdom,yes
"""hit a new low for me""",Business Class,2016-12-04,Australia,no
"""one of the worst journeys""",Economy Class,2016-12-03,United Kingdom,no
"""relegating to a low cost airline""",Economy Class,2016-12-03,United Kingdom,yes
"""closer to low-cost carriers""",Business Class,2016-12-02,United Kingdom,no
"""the service was merely adequate""",Business Class,2016-12-01,United Kingdom,no
"""absolute disgrace""",Economy Class,2016-11-30,United Kingdom,no
"""it was not a pleasant flight""",Economy Class,2016-11-30,United Kingdom,no
"""greatest assets is its cabin crew""",First Class,2016-11-29,United Kingdom,yes
"""friendly and attentive""",Economy Class,2016-11-29,Malaysia,yes
"""a really good flight""",Economy Class,2016-11-29,Australia,yes
"""crew on top of their game""",First Class,2016-11-28,United Kingdom,yes
"""tinted windows was an issue""",Business Class,2016-11-28,United Kingdom,no
"""unobtrusive service provided""",Premium Economy,2016-11-28,Singapore,yes
"""tasty food served promptly""",Economy Class,2016-11-27,United Kingdom,yes
"""service varies each time""",Business Class,2016-11-27,United Kingdom,yes
"""was a horrible experience""",Economy Class,2016-11-27,Singapore,no
"""BA is beneath contempt""",Economy Class,2016-11-27,United Kingdom,no
"""always hit and mostly miss""",First Class,2016-11-27,United States,no
"""crew not overly friendly""",Economy Class,2016-11-26,United Kingdom,yes
"""the value for money is no longer given""",Business Class,2016-11-25,Germany,no
"""could not fault anything""",First Class,2016-11-25,United Kingdom,yes
"""nightmare experience""",Premium Economy,2016-11-25,United Kingdom,no
"""never be using BA again""",Economy Class,2016-11-25,United Kingdom,no
"""clean looking A320""",Economy Class,2016-11-25,United Kingdom,yes
"""staff were friendly""",Economy Class,2016-11-24,United Kingdom,yes
"""a very comfortable flight""",First Class,2016-11-23,United Kingdom,yes
"""a worn out and low cost discount carrier""",Economy Class,2016-11-23,Thailand,no
